ID;PMID;Title;Authors;Citation;First Author;Journal/Book;Publication Year;Create Date;PMCID;NIHMS ID;DOI
12;22106113;A new classification system for grading the severity of onychomycosis: Onychomycosis Severity Index;Carney C, Tosti A, Daniel R, Scher R, Rich P, DeCoster J, Elewski B.;"Arch Dermatol. 2011 Nov;147(11):1277-82. doi: 10.1001/archdermatol.2011.267.";Carney C;Arch Dermatol;2011;23/11/2011;NA;NA;10.1001/archdermatol.2011.267
13;18311759;The Cutaneous Lupus Erythematosus Disease Activity and Severity Index: expansion for rheumatology and dermatology;Krathen MS, Dunham J, Gaines E, Junkins-Hopkins J, Kim E, Kolasinski SL, Kovarik C, Kwan-Morley J, Okawa J, Propert K, Rogers N, Rose M, Thomas P, Troxel AB, Van Voorhees A, Feldt JV, Weber AL, Werth VP.;"Arthritis Rheum. 2008 Mar 15;59(3):338-44. doi: 10.1002/art.23319.";Krathen MS;Arthritis Rheum;2008;04/03/2008;NA;NA;10.1002/art.23319
14;24173182;Psoriasis: correlation between severity index (PASI) and quality of life index (DLQI) in patients assessed before and after systemic treatment;Silva MF, Fortes MR, Miot LD, Marques SA.;"An Bras Dermatol. 2013 Sep-Oct;88(5):760-3. doi: 10.1590/abd1806-4841.20132052.";Silva MF;An Bras Dermatol;2013;01/11/2013;PMC3798353;NA;10.1590/abd1806-4841.20132052
15;28004387;The reliability of the Cutaneous Dermatomyositis Disease Area and Severity Index (CDASI) among dermatologists, rheumatologists and neurologists;Tiao J, Feng R, Bird S, Choi JK, Dunham J, George M, Gonzalez-Rivera TC, Kaufman JL, Khan N, Luo JJ, Micheletti R, Payne AS, Price R, Quinn C, Rubin AI, Sreih AG, Thomas P, Okawa J, Werth VP.;"Br J Dermatol. 2017 Feb;176(2):423-430. doi: 10.1111/bjd.15140. Epub 2016 Dec 22.";Tiao J;Br J Dermatol;2017;23/12/2016;PMC5843482;NIHMS825325;10.1111/bjd.15140
16;20398960;Reliability assessment and validation of the Melasma Area and Severity Index (MASI) and a new modified MASI scoring method;Pandya AG, Hynan LS, Bhore R, Riley FC, Guevara IL, Grimes P, Nordlund JJ, Rendon M, Taylor S, Gottschalk RW, Agim NG, Ortonne JP.;"J Am Acad Dermatol. 2011 Jan;64(1):78-83, 83.e1-2. doi: 10.1016/j.jaad.2009.10.051. Epub 2010 Apr 15.";Pandya AG;J Am Acad Dermatol;2011;20/04/2010;NA;NA;10.1016/j.jaad.2009.10.051
17;23107310;Validation of the Cutaneous Lupus Disease Area and Severity Index (CLASI) using physician- and patient-assessed health outcome measures;Jolly M, Kazmi N, Mikolaitis RA, Sequeira W, Block JA.;"J Am Acad Dermatol. 2013 Apr;68(4):618-623. doi: 10.1016/j.jaad.2012.08.035. Epub 2012 Oct 26.";Jolly M;J Am Acad Dermatol;2013;31/10/2012;NA;NA;10.1016/j.jaad.2012.08.035
18;23807685;The Simplified Psoriasis Index (SPI): a practical tool for assessing psoriasis;Chularojanamontri L, Griffiths CE, Chalmers RJ.;"J Invest Dermatol. 2013 Aug;133(8):1956-62. doi: 10.1038/jid.2013.138. Epub 2013 Mar 20.";Chularojanamontri L;J Invest Dermatol;2013;29/06/2013;NA;NA;10.1038/jid.2013.138
19;12453138;Debridement performance index and its correlation with complete closure of diabetic foot ulcers;Saap LJ, Falanga V.;"Wound Repair Regen. 2002 Nov-Dec;10(6):354-9. doi: 10.1046/j.1524-475x.2002.10603.x.";Saap LJ;Wound Repair Regen;2002;28/11/2002;NA;NA;10.1046/j.1524-475x.2002.10603.x
20;24355263;Development, reliability, and validity of a novel Epidermolysis Bullosa Disease Activity and Scarring Index (EBDASI);Loh CC, Kim J, Su JC, Daniel BS, Venugopal SS, Rhodes LM, Intong LR, Law MG, Murrell DF.;"J Am Acad Dermatol. 2014 Jan;70(1):89-97.e1-13. doi: 10.1016/j.jaad.2013.09.041.";Loh CC;J Am Acad Dermatol;2014;21/12/2013;NA;NA;10.1016/j.jaad.2013.09.041
21;25346300;Grading criteria for disease severity by pemphigus disease area index;Shimizu T, Takebayashi T, Sato Y, Niizeki H, Aoyama Y, Kitajima Y, Iwatsuki K, Hashimoto T, Yamagami J, Werth VP, Amagai M, Tanikawa A.;"J Dermatol. 2014 Nov;41(11):969-73. doi: 10.1111/1346-8138.12649.";Shimizu T;J Dermatol;2014;28/10/2014;NA;NA;10.1111/1346-8138.12649
22;28168736;Assessment of a 3-Dimensional Computerised psoriasis area and severity index (PASI) Tool for calculating and documenting PASI scores;Goon PKC, Farooqui UA, Koopmans I, Skellett AM, Levell NJ.;"J Eur Acad Dermatol Venereol. 2017 Aug;31(8):e352-e353. doi: 10.1111/jdv.14154. Epub 2017 Feb 28.";Goon PKC;J Eur Acad Dermatol Venereol;2017;08/02/2017;NA;NA;10.1111/jdv.14154
23;28401585;A proposed scoring system for assessing the severity of actinic keratosis on the head: actinic keratosis area and severity index;"Dirschka T, Pellacani G, Micali G, Malvehy J, Stratigos AJ, Casari A, Schmitz L, Gupta G; Athens AK Study Group.";"J Eur Acad Dermatol Venereol. 2017 Aug;31(8):1295-1302. doi: 10.1111/jdv.14267. Epub 2017 May 3.";Dirschka T;J Eur Acad Dermatol Venereol;2017;13/04/2017;NA;NA;10.1111/jdv.14267
24;12622629;Performance of the self-administered psoriasis area and severity index in evaluating clinical and sociodemographic subgroups of patients with psoriasis;"Sampogna F, Sera F, Mazzotti E, Pasquini P, Picardi A, Abeni D; IDI Multipurpose Psoriasis Research on Vital Experiences (IMPROVE) Study Group.";"Arch Dermatol. 2003 Mar;139(3):353-8; discussion 357. doi: 10.1001/archderm.139.3.353.";Sampogna F;Arch Dermatol;2003;08/03/2003;NA;NA;10.1001/archderm.139.3.353
25;24772225;Pemphigus: use of the Japanese severity index in 56 Moroccan patients;Benchikhi H, Nani S, Baybay H, Amal S, Mernissi FZ.;"Pan Afr Med J. 2013 Nov 14;16:96. doi: 10.11604/pamj.2013.16.96.2184. eCollection 2013.";Benchikhi H;Pan Afr Med J;2013;29/04/2014;PMC3996439;NA;10.11604/pamj.2013.16.96.2184
26;29572818;Actinic Keratosis Area Severity Index (AKASI): reproducibility study and comparison with total lesion count;Pellacani G, Gupta G, Micali G, Malvehy J, Stratigos AJ, Casari A, Chester J, Kaleci S, Dirschka T.;"Br J Dermatol. 2018 Sep;179(3):763-764. doi: 10.1111/bjd.16559. Epub 2018 Jun 20.";Pellacani G;Br J Dermatol;2018;25/03/2018;NA;NA;10.1111/bjd.16559
27;25641313;Pilot study of an automated method to determine Melasma Area and Severity Index;Tay EY, Gan EY, Tan VWD, Lin Z, Liang Y, Lin F, Wee S, Thng TG.;"Br J Dermatol. 2015 Jun;172(6):1535-1540. doi: 10.1111/bjd.13699. Epub 2015 May 12.";Tay EY;Br J Dermatol;2015;03/02/2015;NA;NA;10.1111/bjd.13699
28;16842554;Osnabrueck hand eczema severity index--a study of the interobserver reliability of a scoring system assessing skin diseases of the hands;Skudlik C, Dulon M, Pohrt U, Appl KC, John SM, Nienhaus A.;"Contact Dermatitis. 2006 Jul;55(1):42-7. doi: 10.1111/j.0105-1873.2006.00871.x.";Skudlik C;Contact Dermatitis;2006;18/07/2006;NA;NA;10.1111/j.0105-1873.2006.00871.x
29;16309471;Using the Dermatology Index of Disease Severity (DIDS) to assess the responsiveness of dermatitis;Hahn HB, Chuang TY.;"Clin Exp Dermatol. 2006 Jan;31(1):19-22. doi: 10.1111/j.1365-2230.2005.02001.x.";Hahn HB;Clin Exp Dermatol;2006;29/11/2005;NA;NA;10.1111/j.1365-2230.2005.02001.x
30;19016701;Validity and responsiveness of the Osnabrück Hand Eczema Severity Index (OHSI): a methodological study;Dulon M, Skudlik C, Nübling M, John SM, Nienhaus A.;"Br J Dermatol. 2009 Jan;160(1):137-42. doi: 10.1111/j.1365-2133.2008.08870.x. Epub 2008 Oct 25.";Dulon M;Br J Dermatol;2009;20/11/2008;NA;NA;10.1111/j.1365-2133.2008.08870.x
31;25011586;Assessment of bullous pemphigoid disease area index during treatment: a prospective study of 30 patients;Lévy-Sitbon C, Barbe C, Plee J, Goeldel AL, Antonicelli F, Reguiaï Z, Jolly D, Grange F, Bernard P.;"Dermatology. 2014;229(2):116-22. doi: 10.1159/000362717. Epub 2014 Jul 5.";Lévy-Sitbon C;Dermatology;2014;12/07/2014;NA;NA;10.1159/000362717
32;17263798;Comparative efficacy of topical antipsoriatic treatments, systemic treatment and biologics: is severity assessment beyond Psoriasis Area and Severity Index a necessity?;van de Kerkhof PC, Mrowietz U, Segaert S, Kragballe K.;"Br J Dermatol. 2007 Apr;156(4):771-2. doi: 10.1111/j.1365-2133.2006.07747.x. Epub 2007 Jan 30.";van de Kerkhof PC;Br J Dermatol;2007;01/02/2007;NA;NA;10.1111/j.1365-2133.2006.07747.x
33;18211416;The comparison of Nail Psoriasis Severity Index with a less time-consuming qualitative system;Kaçar N, Ergin S, Erdoğan BS.;"J Eur Acad Dermatol Venereol. 2008 Feb;22(2):219-22. doi: 10.1111/j.1468-3083.2007.02389.x.";Kaçar N;J Eur Acad Dermatol Venereol;2008;24/01/2008;NA;NA;10.1111/j.1468-3083.2007.02389.x
34;19558005;The Urticaria Severity Score: a sensitive questionnaire/index for monitoring response to therapy in patients with chronic urticaria;Jariwala SP, Moday H, de Asis ML, Fodeman J, Hudes G, de Vos G, Rosenstreich D.;"Ann Allergy Asthma Immunol. 2009 Jun;102(6):475-82. doi: 10.1016/S1081-1206(10)60120-2.";Jariwala SP;Ann Allergy Asthma Immunol;2009;30/06/2009;NA;NA;10.1016/S1081-1206(10)60120-2
35;24176524;Reliability assessment and validation of the postacne hyperpigmentation index (PAHPI), a new instrument to measure postinflammatory hyperpigmentation from acne vulgaris;Savory SA, Agim NG, Mao R, Peter S, Wang C, Maldonado G, Bearden Dietert J, Lieu TJ, Wang C, Pretzlaff K, Das S, Vandergriff T, Lopez IE, Litzner BR, Hynan LS, Arellano-Mendoza MI, Bergstresser PR, Pandya AG.;"J Am Acad Dermatol. 2014 Jan;70(1):108-14. doi: 10.1016/j.jaad.2013.09.017. Epub 2013 Oct 28.";Savory SA;J Am Acad Dermatol;2014;02/11/2013;NA;NA;10.1016/j.jaad.2013.09.017
36;29180097;Lack of correlation of the patient-derived Vitiligo Disease Activity Index with the clinician-derived Vitiligo Area Scoring Index;Coias J, Hynan LS, Pandya AG.;"J Am Acad Dermatol. 2018 May;78(5):1015-1016. doi: 10.1016/j.jaad.2017.11.034. Epub 2017 Nov 24.";Coias J;J Am Acad Dermatol;2018;29/11/2017;NA;NA;10.1016/j.jaad.2017.11.034
37;28365082;Vascular Psoriasis Area Severity Index: A dermoscopic standard technique for assessing severity psoriasis and therapeutic management;Carlesimo M, Garelli V, Fortuna MC, De Vita G, Sorriso-Valvo L, Buccolini F, Melini A, Di Nunno D, Pranteda G, Rossi A.;"J Dermatol Sci. 2017 Jun;86(3):249-251. doi: 10.1016/j.jdermsci.2017.03.010. Epub 2017 Mar 21.";Carlesimo M;J Dermatol Sci;2017;03/04/2017;NA;NA;10.1016/j.jdermsci.2017.03.010
38;17216680;The modified Nail Psoriasis Severity Index: validation of an instrument to assess psoriatic nail involvement in patients with psoriatic arthritis;Cassell SE, Bieber JD, Rich P, Tutuncu ZN, Lee SJ, Kalunian KC, Wu CW, Kavanaugh A.;"J Rheumatol. 2007 Jan;34(1):123-9.";Cassell SE;J Rheumatol;2007;12/01/2007;NA;NA;NA
39;8752834;Disease severity measures in a population of psoriasis patients: the symptoms of psoriasis correlate with self-administered psoriasis area severity index scores;Fleischer AB Jr, Feldman SR, Rapp SR, Reboussin DM, Exum ML, Clark AR, Rajashekhar V.;"J Invest Dermatol. 1996 Jul;107(1):26-9. doi: 10.1111/1523-1747.ep12297659.";Fleischer AB Jr;J Invest Dermatol;1996;01/07/1996;NA;NA;10.1111/1523-1747.ep12297659
40;15210457;Parametric modeling of narrowband UV-B phototherapy for vitiligo using a novel quantitative tool: the Vitiligo Area Scoring Index;Hamzavi I, Jain H, McLean D, Shapiro J, Zeng H, Lui H.;"Arch Dermatol. 2004 Jun;140(6):677-83. doi: 10.1001/archderm.140.6.677.";Hamzavi I;Arch Dermatol;2004;24/06/2004;NA;NA;10.1001/archderm.140.6.677
41;15727643;The hand eczema severity index (HECSI): a scoring system for clinical assessment of hand eczema. A study of inter- and intraobserver reliability;Held E, Skoet R, Johansen JD, Agner T.;"Br J Dermatol. 2005 Feb;152(2):302-7. doi: 10.1111/j.1365-2133.2004.06305.x.";Held E;Br J Dermatol;2005;25/02/2005;NA;NA;10.1111/j.1365-2133.2004.06305.x
42;10809855;A multicentre study of percentage change in venous leg ulcer area as a prognostic index of healing at 24 weeks;Kantor J, Margolis DJ.;"Br J Dermatol. 2000 May;142(5):960-4. doi: 10.1046/j.1365-2133.2000.03478.x.";Kantor J;Br J Dermatol;2000;16/05/2000;NA;NA;10.1046/j.1365-2133.2000.03478.x
43;15727666;The Self-Administered Psoriasis Area and Severity Index provides an objective measure of psoriasis severity;Feldman SR, Clark AR, Venkat AP, Fleischer AB Jr, Anderson RT, Rajagopalan R.;"Br J Dermatol. 2005 Feb;152(2):382-3. doi: 10.1111/j.1365-2133.2005.06351.x.";Feldman SR;Br J Dermatol;2005;25/02/2005;NA;NA;10.1111/j.1365-2133.2005.06351.x
44;32959390;What are the best endpoints for Eczema Area and Severity Index and Scoring Atopic Dermatitis in clinical practice? A prospective observational study;Silverberg JI, Lei D, Yousaf M, Janmohamed SR, Vakharia PP, Chopra R, Chavda R, Gabriel S, Patel KR, Singam V, Kantor R, Hsu DY.;"Br J Dermatol. 2021 May;184(5):888-895. doi: 10.1111/bjd.19457. Epub 2020 Sep 21.";Silverberg JI;Br J Dermatol;2021;22/09/2020;PMC7862410;NIHMS1629550;10.1111/bjd.19457
45;12452870;Use of the Self-Administered Eczema Area and Severity Index by parent caregivers: results of a validation study;Housman TS, Patel MJ, Camacho F, Feldman SR, Fleischer AB Jr, Balkrishnan R.;"Br J Dermatol. 2002 Dec;147(6):1192-8. doi: 10.1046/j.1365-2133.2002.05031.x.";Housman TS;Br J Dermatol;2002;28/11/2002;NA;NA;10.1046/j.1365-2133.2002.05031.x
46;27976465;Determination of the Nail Psoriasis Severity Index improvement rate standards for nail psoriasis treatment in a phase IV clinical trial of ustekinumab: the MARCOPOLO study;"Youn SW, Kim BR, Cho S, Seo SJ, Lee ES, Roh JY, Choi GS, Lee MG; MARCOPOLO investigators.";"J Eur Acad Dermatol Venereol. 2017 Jun;31(6):e298-e299. doi: 10.1111/jdv.14083. Epub 2017 Jan 3.";Youn SW;J Eur Acad Dermatol Venereol;2017;16/12/2016;NA;NA;10.1111/jdv.14083
47;25278165;Vitiligo Area Scoring Index and Vitiligo European Task Force assessment: reliable and responsive instruments to measure the degree of depigmentation in vitiligo;Komen L, da Graça V, Wolkerstorfer A, de Rie MA, Terwee CB, van der Veen JP.;"Br J Dermatol. 2015 Feb;172(2):437-43. doi: 10.1111/bjd.13432. Epub 2015 Jan 8.";Komen L;Br J Dermatol;2015;04/10/2014;NA;NA;10.1111/bjd.13432
48;27580431;The Epidermolysis Bullosa Disease Activity and Scarring Index (EBDASI): grading disease severity and assessing responsiveness to clinical change in epidermolysis bullosa;Jain SV, Harris AG, Su JC, Orchard D, Warren LJ, McManus H, Murrell DF.;"J Eur Acad Dermatol Venereol. 2017 Apr;31(4):692-698. doi: 10.1111/jdv.13953. Epub 2016 Oct 3.";Jain SV;J Eur Acad Dermatol Venereol;2017;01/09/2016;PMC5412907;NA;10.1111/jdv.13953
49;26669549;The Smile Esthetic Index (SEI): A method to measure the esthetics of the smile. An intra-rater and inter-rater agreement study;Rotundo R, Nieri M, Bonaccini D, Mori M, Lamberti E, Massironi D, Giachetti L, Franchi L, Venezia P, Cavalcanti R, Bondi E, Farneti M, Pinchi V, Buti J.;"Eur J Oral Implantol. 2015 Winter;8(4):397-403.";Rotundo R;Eur J Oral Implantol;2015;17/12/2015;NA;NA;NA
50;24429657;Pemphigus disease activity measurements: pemphigus disease area index, autoimmune bullous skin disorder intensity score, and pemphigus vulgaris activity score;Rahbar Z, Daneshpazhooh M, Mirshams-Shahshahani M, Esmaili N, Heidari K, Aghazadeh N, Hejazi P, Ghajarzadeh M, Chams-Davatchi C.;"JAMA Dermatol. 2014 Mar;150(3):266-72. doi: 10.1001/jamadermatol.2013.8175.";Rahbar Z;JAMA Dermatol;2014;17/01/2014;NA;NA;10.1001/jamadermatol.2013.8175
51;12848110;The National Psoriasis Foundation Psoriasis Score (NPF-PS) system versus the Psoriasis Area Severity Index (PASI) and Physician's Global Assessment (PGA): a comparison;Gottlieb AB, Chaudhari U, Baker DG, Perate M, Dooley LT.;"J Drugs Dermatol. 2003 Jun;2(3):260-6.";Gottlieb AB;J Drugs Dermatol;2003;10/07/2003;NA;NA;NA
52;18283174;The cutaneous lupus erythematosus disease area and severity index: a responsive instrument to measure activity and damage in patients with cutaneous lupus erythematosus;Bonilla-Martinez ZL, Albrecht J, Troxel AB, Taylor L, Okawa J, Dulay S, Werth VP.;"Arch Dermatol. 2008 Feb;144(2):173-80. doi: 10.1001/archderm.144.2.173.";Bonilla-Martinez ZL;Arch Dermatol;2008;20/02/2008;PMC2829653;NIHMS82310;10.1001/archderm.144.2.173
53;9298136;The applicability of clinical scoring systems: SCORAD and PASI in psoriasis and atopic dermatitis;Jemec GB, Wulf HC.;"Acta Derm Venereol. 1997 Sep;77(5):392-3. doi: 10.2340/0001555577392393.";Jemec GB;Acta Derm Venereol;1997;23/09/1997;NA;NA;10.2340/0001555577392393
54;15389191;Evaluating psoriasis with Psoriasis Area and Severity Index, Psoriasis Global Assessment, and Lattice System Physician's Global Assessment;Langley RG, Ellis CN.;"J Am Acad Dermatol. 2004 Oct;51(4):563-9. doi: 10.1016/j.jaad.2004.04.012.";Langley RG;J Am Acad Dermatol;2004;25/09/2004;NA;NA;10.1016/j.jaad.2004.04.012
55;29068583;The reliability of three psoriasis assessment tools: Psoriasis area and severity index, body surface area and physician global assessment;Bożek A, Reich A.;"Adv Clin Exp Med. 2017 Aug;26(5):851-856. doi: 10.17219/acem/69804.";Bożek A;Adv Clin Exp Med;2017;26/10/2017;NA;NA;10.17219/acem/69804
56;34741783;Absolute Psoriasis Area and Severity Index as a valuable marker to determine initial treatment response in psoriasis patients treated with guselkumab in routine clinical care;Seidl U, Pinter A, Wilsmann-Theis D, Poortinga S, Morrison K, Mrowietz U, Gerdes S.;"Dermatol Ther. 2022 Jan;35(1):e15193. doi: 10.1111/dth.15193. Epub 2021 Nov 25.";Seidl U;Dermatol Ther;2022;06/11/2021;NA;NA;10.1111/dth.15193
57;32199977;Comparison of Patient-Oriented Eczema Measure and Patient-Oriented Scoring Atopic Dermatitis vs Eczema Area and Severity Index and other measures of atopic dermatitis: A validation study;Silverberg JI, Lei D, Yousaf M, Janmohamed SR, Vakharia PP, Chopra R, Chavda R, Gabriel S, Patel KR, Singam V, Kantor R, Hsu DY.;"Ann Allergy Asthma Immunol. 2020 Jul;125(1):78-83. doi: 10.1016/j.anai.2020.03.006. Epub 2020 Mar 18.";Silverberg JI;Ann Allergy Asthma Immunol;2020;23/03/2020;NA;NA;10.1016/j.anai.2020.03.006
58;28342016;Severity of Psoriasis Differs Between Men and Women: A Study of the Clinical Outcome Measure Psoriasis Area and Severity Index (PASI) in 5438 Swedish Register Patients;Hägg D, Sundström A, Eriksson M, Schmitt-Egenolf M.;"Am J Clin Dermatol. 2017 Aug;18(4):583-590. doi: 10.1007/s40257-017-0274-0.";Hägg D;Am J Clin Dermatol;2017;26/03/2017;PMC5506504;NA;10.1007/s40257-017-0274-0
59;18092843;Comparison of skin hydration evaluation sites and correlations among skin hydration, transepidermal water loss, SCORAD index, Nottingham Eczema Severity Score, and quality of life in patients with atopic dermatitis;Hon KL, Wong KY, Leung TF, Chow CM, Ng PC.;"Am J Clin Dermatol. 2008;9(1):45-50. doi: 10.2165/00128071-200809010-00005.";Hon KL;Am J Clin Dermatol;2008;21/12/2007;NA;NA;10.2165/00128071-200809010-00005
60;30033560;Evaluation of the reliability and validity of the Cutaneous Lupus Erythematosus Disease Area and Severity Index (CLASI) in paediatric cutaneous lupus among paediatric dermatologists and rheumatologists;Kushner CJ, Tarazi M, Gaffney RG, Feng R, Ardalan K, Brandling-Bennett HA, Castelo-Soccio L, Chang JC, Chiu YE, Gmuca S, Hunt RD, Kahn PJ, Knight AM, Mehta J, Pearson DR, Treat JR, Wan J, Yeguez AC, Concha JSS, Patel B, Okawa J, Arkin LM, Werth VP.;"Br J Dermatol. 2019 Jan;180(1):165-171. doi: 10.1111/bjd.17012. Epub 2018 Oct 5.";Kushner CJ;Br J Dermatol;2019;24/07/2018;NA;NA;10.1111/bjd.17012
61;26827762;Development and Validation of the Vitiligo Extent Score (VES): an International Collaborative Initiative;van Geel N, Lommerts J, Bekkenk M, Wolkerstorfer A, Prinsen CAC, Eleftheriadou V, Taïeb A, Picardo M, Ezzedine K, Speeckaert R.;"J Invest Dermatol. 2016 May;136(5):978-984. doi: 10.1016/j.jid.2015.12.040. Epub 2016 Jan 28.";van Geel N;J Invest Dermatol;2016;02/02/2016;NA;NA;10.1016/j.jid.2015.12.040
62;9833051;Comparison of actual psoriasis surface area and the psoriasis area and severity index by the human eye and machine vision methods in following the treatment of psoriasis;Savolainen L, Kontinen J, Alatalo E, Röning J, Oikarinen A.;"Acta Derm Venereol. 1998 Nov;78(6):466-7. doi: 10.1080/000155598442818.";Savolainen L;Acta Derm Venereol;1998;02/12/1998;NA;NA;10.1080/000155598442818
63;26800395;Calculation of cut-off values based on the Autoimmune Bullous Skin Disorder Intensity Score (ABSIS) and Pemphigus Disease Area Index (PDAI) pemphigus scoring systems for defining moderate, significant and extensive types of pemphigus;"Boulard C, Duvert Lehembre S, Picard-Dahan C, Kern JS, Zambruno G, Feliciani C, Marinovic B, Vabres P, Borradori L, Prost-Squarcioni C, Labeille B, Richard MA, Ingen-Housz-Oro S, Houivet E, Werth VP, Murrell DF, Hertl M, Benichou J, Joly P; International Pemphigus Study Group.";"Br J Dermatol. 2016 Jul;175(1):142-9. doi: 10.1111/bjd.14405. Epub 2016 Apr 3.";Boulard C;Br J Dermatol;2016;23/01/2016;NA;NA;10.1111/bjd.14405
